text,category,urgency
"Massive pile of garbage at the corner of MG Road is a health hazard. It hasn't been cleared for weeks.",garbage,high
"The main streetlight on 12th Main Indiranagar is out. It's a serious safety issue at night.",streetlight,high
"Huge pothole on the Outer Ring Road near Marathahalli is causing major traffic jams and accidents.",pothole,high
"Sewage is overflowing from the manhole in front of my house in Koramangala. The smell is unbearable.",drainage,high
"Garbage bin near the city park is completely full and overflowing. Needs immediate attention.",garbage,high
"A large tree branch has fallen and is blocking the road in Jayanagar 4th Block.",other,high
"All streetlights in our lane in Sector 22, Dwarka have been off for three nights.",streetlight,high
"The drain on our street is completely blocked, leading to severe waterlogging after just a little rain.",drainage,medium
"Several potholes on the road leading to the community centre make driving difficult.",pothole,medium
"The garbage collection van has not come to our area in Lajpat Nagar for the past 4 days.",garbage,medium
"A couple of streetlights are flickering on and off near the bus stop. It's been like this for a week.",streetlight,medium
"The drain cover is broken and poses a risk to pedestrians and vehicles.",drainage,medium
"The road surface is wearing off in multiple places on the main market road.",pothole,medium
"There's a small pothole forming near the speed breaker on our street.",pothole,low
"Request to install a new streetlight in the alley behind our building.",streetlight,low
"The garbage bin has a crack in it and needs to be replaced.",garbage,low
"The drain is partially clogged and water is draining slowly.",drainage,low
"Can we please get an extra garbage bin for our locality? The current one fills up too fast.",garbage,low
"Minor crack on the public pavement needs fixing.",other,low
"The streetlight outside my house is working, but the light is very dim.",streetlight,low
"Water logging in front of Apollo Hospital, Sarita Vihar. Very difficult for patients to cross.",drainage,high
"Why is there so much garbage dumped near the Yamuna river bank? Authorities need to clean this up ASAP.",garbage,high
"Dangerous pothole on the flyover towards Noida. My bike almost skidded yesterday.",pothole,high
"Streetlight pole has been knocked down after an accident and is lying on the road.",streetlight,high
"Manhole cover is missing in the middle of the road in Connaught Place. Very dangerous!",other,high
"Drainage system in Chandni Chowk is a mess. Water is entering the shops.",drainage,high
"Heaps of construction debris have been left on the side of the road for a month.",garbage,medium
"The road near the metro station is full of small to medium-sized potholes.",pothole,medium
"The main drain in our colony gets clogged every time it rains.",drainage,medium
"Streetlights in the park are not working, making it unsafe for evening walks.",streetlight,medium
"Irregular garbage collection is a persistent problem in our neighborhood.",garbage,medium
"The storm drain inlet is covered with leaves and plastic. Needs to be cleared before the next rain.",drainage,low
"A small portion of the footpath is broken. It could trip someone.",other,low
"The streetlight timer is off; lights are on during the day.",streetlight,low
"Can we have the potholes filled before the monsoon season starts?",pothole,low
"Request for regular sweeping of our street.",garbage,low
"Overflowing dumpsters behind the main market are attracting stray dogs.",garbage,high
"Complete darkness on the service road next to the highway. It's an invitation for crime.",streetlight,high
"The road has caved in at a small spot near the intersection.",pothole,high
"Blocked sewer line is causing dirty water to back up into toilets. Urgent help needed.",drainage,high
"A dead animal is lying on the road and needs to be removed immediately.",garbage,high
"Fallen signpost is obstructing the footpath.",other,high
"Water pipe leakage has created a large pool of water on the road.",drainage,medium
"The condition of the road in our residential area has become very poor due to many potholes.",pothole,medium
"Garbage is not being segregated properly by the collection agency.",garbage,medium
"The streetlight flickers constantly, which is very annoying.",streetlight,medium
"The gutter is full of silt and needs cleaning.",drainage,medium
"There is a small pothole on the side of the road that could be fixed.",pothole,low
"The public dustbin needs repair; the lid is broken.",garbage,low
"A single streetlight in our lane is fused.",streetlight,low
"The drain grate is loose and makes a noise every time a car passes over it.",drainage,low
"Graffiti on the community hall wall needs to be cleaned.",other,low
"The park bench is broken and needs to be repaired.",other,low
"Street dogs have scattered garbage all over the street from an open disposal spot.",garbage,medium
"Several streetlights on Marine Drive are not functional.",streetlight,high
"Potholes near the Gateway of India are a disgrace for a tourist spot.",pothole,medium
"Waterlogging near Churchgate station after a short spell of rain is causing chaos.",drainage,high
"Garbage disposal near Bandra station is a huge problem.",garbage,high
"A portion of the sea-facing promenade has been damaged.",other,medium
"Drainage in the Dharavi area needs a complete overhaul.",drainage,high
"Streetlights in the lane next to the school are not working.",streetlight,medium
"The roads in Film City are in terrible condition with lots of potholes.",pothole,medium
"Waste from the fishing village is not being managed properly.",garbage,medium
"Open manhole in a busy market area. This is a disaster waiting to happen.",other,high
"Streetlight pole is rusted and looks like it might fall.",streetlight,medium
"Garbage burning is happening in our locality every morning, causing air pollution.",garbage,medium
"Pothole repair work was done poorly and the tar is already coming off.",pothole,medium
"The new LED streetlights are too bright and are causing a glare.",streetlight,low
"Can the drain be cleaned to prevent mosquito breeding?",drainage,low
"Request to place a 'Do Not Litter' sign in the public park.",other,low
"Collection of dry and wet waste is not happening on separate days as promised.",garbage,low
"The pavement is uneven near the senior citizen's park.",other,low
"Why is there a garbage collection fee when the service is so irregular?",garbage,medium
"The road is sinking slightly at one point. It needs to be inspected.",pothole,high
